tabel,kondisi_tambak,jenis_ikan,keadaan_tambak,luas_lahan_m2,banyak_benih,bulan_ke,actual_kg,prediction_kg,error_kg,error_pct_of_actual
4.4,A,Bandeng,Normal,715,5000,4,375.5,397.43,-21.93,0.058402
4.4,A,Bandeng,Normal,715,5000,5,445.5,456.36,-10.86,0.024377
4.4,A,Bandeng,Normal,715,5000,6,545.5,515.29,30.21,0.05538
4.4,A,Bandeng,Normal,715,5000,7,606.5,574.21,32.29,0.05324
4.4,A,Bandeng,Normal,715,5000,8,625.5,633.14,-7.64,0.012214
4.4,A,Bandeng,Normal,715,5000,9,675.5,692.07,-16.57,0.02453
4.4,A,Bandeng,Normal,715,5000,10,745.5,751.0,-5.5,0.007378
4.5,B,Bandeng,Tidak Normal,715,5000,4,212.5,219.63,-7.13,0.033553
4.5,B,Bandeng,Tidak Normal,715,5000,5,269.5,263.46,6.04,0.022412
4.5,B,Bandeng,Tidak Normal,715,5000,6,316.5,307.3,9.2,0.029068
4.5,B,Bandeng,Tidak Normal,715,5000,7,343.5,351.14,-7.64,0.022242
4.5,B,Bandeng,Tidak Normal,715,5000,8,399.0,394.98,4.02,0.010075
4.5,B,Bandeng,Tidak Normal,715,5000,9,429.5,438.82,-9.32,0.0217
4.5,B,Bandeng,Tidak Normal,715,5000,10,487.5,482.66,4.84,0.009928
4.6,C,Vaname,Normal,50,5000,1,52.0,54.0,-2.0,0.038462
4.6,C,Vaname,Normal,50,5000,2,84.5,80.5,4.0,0.047337
4.6,C,Vaname,Normal,50,5000,3,105.0,107.0,-2.0,0.019048
4.7,D,Vaname,Tidak Normal,50,5000,1,29.5,28.0,1.5,0.050847
4.7,D,Vaname,Tidak Normal,50,5000,2,38.5,41.5,-3.0,0.077922
4.7,D,Vaname,Tidak Normal,50,5000,3,56.5,55.0,1.5,0.026549
4.8,E,Windu,Normal,50,5000,1,44.5,43.0,1.5,0.033708
4.8,E,Windu,Normal,50,5000,2,64.0,63.95,0.05,0.000781
4.8,E,Windu,Normal,50,5000,3,78.5,84.9,-6.4,0.081529
4.8,E,Windu,Normal,50,5000,4,112.5,105.85,6.65,0.059111
4.8,E,Windu,Normal,50,5000,5,125.0,126.8,-1.8,0.0144
4.9,D*,Windu,Tidak Normal,50,5000,1,25.5,24.5,1.0,0.039216
4.9,D*,Windu,Tidak Normal,50,5000,2,35.5,35.0,0.5,0.014085
4.9,D*,Windu,Tidak Normal,50,5000,3,44.5,45.5,-1.0,0.022472
4.9,D*,Windu,Tidak Normal,50,5000,4,52.5,56.0,-3.5,0.066667
4.9,D*,Windu,Tidak Normal,50,5000,5,69.5,66.5,3.0,0.043165
