waktu,jenis_ikan,suhu_c,ph,padat_tebar,hasil_klasifikasi
Pagi,Bandeng,27.0,7.0,Normal,Normal
Pagi,Bandeng,27.0,7.4,Normal,Normal
Pagi,Bandeng,27.2,6.9,Normal,Normal
Pagi,Bandeng,27.2,7.2,Normal,Normal
Pagi,Bandeng,27.4,7.1,Normal,Normal
Pagi,Bandeng,27.4,7.7,Normal,Normal
Pagi,Bandeng,27.5,7.8,Normal,Normal
Pagi,Bandeng,27.5,8.0,Normal,Normal
Pagi,Bandeng,27.7,7.2,Normal,Normal
Pagi,Bandeng,27.9,7.5,Normal,Normal
Pagi,Bandeng,28.0,7.3,Normal,Normal
Pagi,Bandeng,28.0,7.9,Normal,Normal
Pagi,Bandeng,28.1,7.7,Normal,Normal
Pagi,Bandeng,28.1,7.8,Normal,Normal
Pagi,Bandeng,28.2,7.9,Normal,Normal
Pagi,Bandeng,28.2,6.8,Normal,Normal
Pagi,Bandeng,28.2,7.1,Normal,Normal
Pagi,Bandeng,28.2,7.3,Normal,Normal
Pagi,Bandeng,28.2,7.4,Normal,Normal
Pagi,Bandeng,28.3,7.3,Normal,Normal
Pagi,Bandeng,28.4,7.5,Normal,Normal
Pagi,Bandeng,28.6,7.9,Normal,Normal
Pagi,Bandeng,28.6875,6.97,Normal,Normal
Pagi,Bandeng,28.6875,6.96,Normal,Normal
Pagi,Bandeng,28.75,6.96,Normal,Normal
Pagi,Bandeng,28.75,6.94,Normal,Normal
Pagi,Bandeng,28.75,6.97,Normal,Normal
Pagi,Bandeng,28.75,6.99,Normal,Normal
Pagi,Bandeng,28.75,7.0,Normal,Normal
Pagi,Bandeng,28.8,7.9,Normal,Normal
Pagi,Bandeng,28.8,7.1,Normal,Normal
Pagi,Bandeng,28.8125,6.97,Normal,Normal
Pagi,Bandeng,28.8125,6.96,Normal,Normal
Pagi,Bandeng,28.8125,6.94,Normal,Normal
Pagi,Bandeng,28.875,6.96,Normal,Normal
Pagi,Bandeng,29.0,8.0,Normal,Normal
Pagi,Bandeng,29.25,6.91,Normal,Normal
Pagi,Bandeng,29.5,7.6,Normal,Normal
Pagi,Bandeng,29.5,7.0,Normal,Normal
Pagi,Bandeng,29.6,6.7,Normal,Normal
Pagi,Bandeng,29.6,7.2,Normal,Normal
Pagi,Bandeng,27.4,6.6,Normal,Normal
Pagi,Bandeng,27.6,7.1,Normal,Normal
Pagi,Bandeng,27.93,6.6,Normal,Normal
Pagi,Bandeng,27.95,7.2,Normal,Normal
Pagi,Bandeng,28.13,6.7,Normal,Normal
Pagi,Bandeng,28.15,7.6,Normal,Normal
Pagi,Bandeng,28.38,7.3,Normal,Normal
Pagi,Bandeng,28.58,7.0,Normal,Normal
Pagi,Bandeng,29.0,6.9,Normal,Normal
Pagi,Bandeng,29.47,6.8,Normal,Normal
Pagi,Bandeng,29.73,7.4,Normal,Normal
Pagi,Bandeng,29.8,7.5,Normal,Normal
Pagi,Bandeng,27.91,6.8,Normal,Normal
Pagi,Bandeng,28.25,7.4,Normal,Normal
Pagi,Bandeng,29.63,7.5,Normal,Normal
Pagi,Bandeng,25.4,9.3,Tidak Normal,Tidak Normal
Pagi,Bandeng,26.4,6.5,Tidak Normal,Tidak Normal
Pagi,Bandeng,26.8,9.4,Tidak Normal,Tidak Normal
Pagi,Bandeng,31.0,9.5,Tidak Normal,Tidak Normal
Pagi,Bandeng,24.5,9.2,Tidak Normal,Tidak Normal
Pagi,Bandeng,24.7,6.0,Tidak Normal,Tidak Normal
Pagi,Bandeng,24.7,9.0,Tidak Normal,Tidak Normal
Pagi,Bandeng,24.7,6.1,Tidak Normal,Tidak Normal
Pagi,Bandeng,24.8,9.6,Tidak Normal,Tidak Normal
Pagi,Bandeng,25.3,6.4,Tidak Normal,Tidak Normal
Pagi,Bandeng,25.6,9.8,Tidak Normal,Tidak Normal
Pagi,Bandeng,25.7,9.1,Tidak Normal,Tidak Normal
Pagi,Bandeng,25.9,6.2,Tidak Normal,Tidak Normal
Pagi,Bandeng,26.0,9.2,Tidak Normal,Tidak Normal
Pagi,Bandeng,26.5,6.3,Tidak Normal,Tidak Normal
Pagi,Bandeng,26.7,9.7,Tidak Normal,Tidak Normal
Pagi,Bandeng,31.5,9.9,Tidak Normal,Tidak Normal
Pagi,Bandeng,31.6,6.3,Tidak Normal,Tidak Normal
Pagi,Bandeng,31.7,9.3,Tidak Normal,Tidak Normal
Pagi,Bandeng,31.7,6.4,Tidak Normal,Tidak Normal
Pagi,Bandeng,32.0,9.4,Tidak Normal,Tidak Normal
Pagi,Bandeng,32.1,10.0,Tidak Normal,Tidak Normal
Pagi,Bandeng,32.6,6.2,Tidak Normal,Tidak Normal
Pagi,Bandeng,32.8,6.5,Tidak Normal,Tidak Normal
Pagi,Bandeng,33.0,6.0,Tidak Normal,Tidak Normal
Pagi,Bandeng,33.3,9.5,Tidak Normal,Tidak Normal
